Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
IWM,Buy to cover,Market,300,0,0,Filled,300,138.326666666667,0,Close,,,DAY,Playback101,03a7275a024d4f81b386ee8b22b0c14d,5/8/2017 4:03:54 PM,,
IWM,Sell,Market,200,0,0,Filled,200,138.085,0,,,,DAY,Playback101,a331ede71f39434c808feff0d7c3047a,5/8/2017 3:46:14 PM,,
IWM,Sell,Market,100,0,0,Filled,100,138.03,0,,,,DAY,Playback101,972e0a6cbd224854ab294792f35dc6cf,5/8/2017 3:39:34 PM,,
IWM,Sell,Market,100,0,0,Filled,100,138.1,0,Close,,,DAY,Playback101,c06ac1c3c33a490eb7e50e971341afd5,5/8/2017 3:37:14 PM,,
IWM,Buy,Market,100,0,0,Filled,100,138.32,0,,,,DAY,Playback101,5bc26ce04e8248e5979d83db59bee032,5/8/2017 3:17:14 PM,,
IWM,Buy to cover,Market,100,0,0,Filled,100,138.38,0,Close,,,DAY,Playback101,f7f0041548534642a16199cf21ebe3ae,5/8/2017 1:37:53 PM,,
IWM,Sell,Market,100,0,0,Filled,100,138.38,0,,,,DAY,Playback101,5528acec34bf45e99d6718dd14b77b9f,5/8/2017 1:14:09 PM,,
XIV,Sell,Market,100,0,0,Filled,100,79.94,0,Close,,,DAY,Playback101,a2b957e2f3a740c9a4c07d52dbbdc5c1,5/8/2017 1:07:13 PM,,
IWM,Buy to cover,Market,100,0,0,Filled,100,138.45,0,Close,,,DAY,Playback101,20f1e4de906f4f18b52fb57d36c32778,5/8/2017 1:05:45 PM,,
IWM,Sell short,Market,100,0,0,Filled,100,138.36,0,,,,GTC,Playback101,a3b74ea6868443bebbe7fbfe9060b324,5/8/2017 1:01:05 PM,,
IWM,Sell,Market,100,0,0,Filled,100,138.36,0,Close,,,DAY,Playback101,608f621c43c74b2a96284e18d00c1d01,5/8/2017 1:01:05 PM,,
IWM,Buy,Market,100,0,0,Filled,100,138.45,0,,,,DAY,Playback101,600a6eb49a8f4fb48de67f70ea2a47b0,5/8/2017 12:53:53 PM,,
XIV,Buy,Market,100,0,0,Filled,100,79.94,0,,,,GTC,Playback101,ab01bcb8032b4e68aa45f69602053a06,5/8/2017 12:49:13 PM,,
XIV,Buy to cover,Market,100,0,0,Filled,100,79.94,0,Close,,,DAY,Playback101,04bb38dc1e2b4aed9905c7b476890f4e,5/8/2017 12:49:13 PM,,
XIV,Sell,Market,100,0,0,Filled,100,79.84,0,,,,DAY,Playback101,56a6c85027de478baff5dba920ce3ab9,5/8/2017 12:44:09 PM,,
IWM,Sell,Stop Market,100,0,138.37,Filled,100,138.36,0,,,,DAY,Playback101,79df06bbeaa346d993ad21d30aac4ba3,5/8/2017 1:00:55 PM,,
IWM,Buy,Market,100,0,0,Filled,100,137.91,0,,,,DAY,Playback101,a0baf0e344c547e1b32e661c618138d9,5/8/2017 12:32:49 PM,,
XIV,Sell,Market,100,0,0,Filled,100,79.46,0,Close,,,DAY,Playback101,12df814c32c3464a91f99591b6c4a4b4,5/8/2017 12:14:25 PM,,
XIV,Buy,Market,100,0,0,Filled,100,79.68,0,,,,DAY,Playback101,87ae2f664fd34a368970e5b1821bc130,5/8/2017 12:02:41 PM,,
XIV,Buy to cover,Market,100,0,0,Filled,100,79.5600000000001,0,Close,,,DAY,Playback101,0dc4507cdd9c4e02ba9d3401374b9ca2,5/8/2017 11:57:45 AM,,
XIV,Sell,Market,100,0,0,Filled,100,79.6200000000001,0,,,,DAY,Playback101,e6b43a502e334c2e91d27e915fc93e05,5/8/2017 11:53:37 AM,,
IWM,Sell,Market,100,0,0,Filled,100,137.98,0,Close,,,DAY,Playback101,1f079ab574814fbbafdc8239534f48d0,5/8/2017 11:51:53 AM,,
EWW,Buy to cover,Market,100,0,0,Filled,100,51.18,0,Close,,,DAY,Playback101,cc086214cf374f0592ec55757b55eb24,5/8/2017 11:39:37 AM,,
IWM,Buy,Market,100,0,0,Filled,100,137.91,0,,,,DAY,Playback101,738c97ab506c49a2a6c3ac46abeff51b,5/8/2017 11:32:17 AM,,
IWM,Buy to cover,Market,100,0,0,Filled,100,138.05,0,Close,,,DAY,Playback101,dbff5083cbaa41f99ba5a37c833a2416,5/8/2017 11:18:09 AM,,
IWM,Sell,Market,100,0,0,Filled,100,138.16,0,,,,DAY,Playback101,b484ab5318ca4ab8aa7b1c5e9b0299d0,5/8/2017 11:05:29 AM,,
IWM,Buy to cover,Market,100,0,0,Filled,100,138.33,0,Close,,,DAY,Playback101,156dc8a9bd2a4694b0fc80da41dd033d,5/8/2017 10:34:17 AM,,
IWM,Sell,Market,100,0,0,Filled,100,138.4,0,,,,DAY,Playback101,4bd67f5a643b4aeebcb0e0ab75b28ae7,5/8/2017 10:23:59 AM,,
EWW,Sell,Market,100,0,0,Filled,100,51.31,0,,,,DAY,Playback101,9724769821cd444d845368413c3c0055,5/8/2017 10:10:23 AM,,
IWM,Sell,Market,100,0,0,Filled,100,138.8,0,Close,,,DAY,Playback101,e3f1abbd9392441faec9ffa4a9af17f2,5/8/2017 10:07:11 AM,,
XIV,Sell,Market,100,0,0,Filled,100,79.4400000000001,0,Close,,,DAY,Playback101,86b84ed4b8fa4af4b67077d3ea92682e,5/8/2017 10:06:23 AM,,
XIV,Buy,Market,100,0,0,Filled,100,79.1999999999997,0,,,,DAY,Playback101,2d73be081d904a738ac5caa145c7333e,5/8/2017 9:56:29 AM,,
IWM,Buy,Market,100,0,0,Filled,100,138.660000000001,0,,,,DAY,Playback101,6e17c47bc89d411982fd8a16ff50fd99,5/8/2017 9:55:23 AM,,
IWM,Sell,Stop Market,100,0,138.53,Filled,100,138.540000000001,0,,,,DAY,Playback101,10b352b1704640b1b7b51e4ac7c36797,5/8/2017 9:47:21 AM,,
IWM,Buy,Market,100,0,0,Filled,100,138.48,0,,,,DAY,Playback101,0e680823948b49d48eb0aa0e40c0ac71,5/8/2017 9:41:05 AM,,
